from_path,to_path,reason,boundary
src/lib/github/client.ts,src/modules/github/client.ts,Consolidate GitHub client duplication; modules/github is current version with upsert support,merge-duplicate
src/lib/github/operations.ts,src/modules/github/operations.ts,Consolidate GitHub operations duplication; merge with existing modules version,merge-duplicate
src/lib/github/token-provider.ts,DEPRECATED,Legacy token provider; already replaced by modules/github/token-provider.ts,candidate-removal
src/lib/github/__tests__/token-provider.test.ts,src/modules/github/__tests__/token-provider-legacy.test.ts,Migrate tests to modules/github; rename to avoid conflict,test-migration
src/lib/github/__tests__/operations.test.ts,src/modules/github/__tests__/operations-legacy.test.ts,Migrate tests to modules/github; merge with existing tests,test-migration
src/lib/auth/github-app.ts,src/modules/github/auth/github-app.ts,Move GitHub App token primitives to SSOT location; will be merged into token-provider,consolidate-auth
src/lib/auth/github-token.ts,DEPRECATED,Deprecated wrapper around new token-provider; already marked deprecated in code,candidate-removal
src/lib/auth/actor.ts,src/shared/lib/auth/actor.ts,Actor resolution is shared utility used across multiple modules,shared-utility
src/lib/auth/storage.ts,src/shared/lib/auth/storage.ts,Auth storage is shared utility for browser localStorage,shared-utility
src/lib/auth/types.ts,src/shared/types/auth.ts,Auth types are shared across modules; move to centralized types,shared-types
src/lib/agents/documentation-agent.ts,src/modules/documentation/agent/documentation-agent.ts,Core documentation agent; feature-specific module,feature-module
src/lib/agents/documentation-agent-types.ts,src/modules/documentation/agent/types.ts,Documentation agent types; keep with agent implementation,feature-module
src/lib/agents/document-agent.ts,src/modules/documentation/agent/document-agent.ts,Document agent variant; feature-specific module,feature-module
src/lib/agents/document-agent-v2.ts,src/modules/documentation/agent/document-agent-v2.ts,Document agent v2; feature-specific module,feature-module
src/lib/agents/base-agent.ts,src/modules/documentation/agent/base-agent.ts,Base agent class; documentation-specific abstraction,feature-module
src/lib/agents/types.ts,src/modules/documentation/agent/shared-types.ts,Agent types; rename to avoid conflict with documentation-agent types,feature-module
src/lib/agents/playbooks/documentation-agent-playbook.ts,src/modules/documentation/playbooks/documentation-agent-playbook.ts,Documentation agent playbook; feature-specific,feature-module
src/lib/agents/playbooks/document-agent-playbook.ts,src/modules/documentation/playbooks/document-agent-playbook.ts,Document agent playbook; feature-specific,feature-module
src/lib/agents/scribe/runner.ts,src/modules/agents/scribe/client/runner.client.ts,Client-side scribe runner; distinguish from server runner,feature-module
src/lib/agents/utils/github-utils.ts,src/modules/documentation/agent/utils/github-utils.ts,GitHub utilities for agents; keep with agent implementation,feature-module
src/lib/agents/utils/github-utils-v2.ts,src/modules/documentation/agent/utils/github-utils-v2.ts,GitHub utilities v2; keep with agent implementation,feature-module
src/lib/agents/utils/github-utils-legacy.ts,DEPRECATED,Legacy GitHub utils with direct fetch calls; 661 lines; no imports found,candidate-removal
src/lib/ai/models.ts,src/shared/lib/ai/models.ts,AI model definitions; shared across agents,shared-utility
src/lib/ai/openrouter.ts,src/shared/lib/ai/openrouter.ts,OpenRouter client; shared AI service,shared-utility
src/lib/ai/usage-tracker.ts,src/shared/lib/ai/usage-tracker.ts,AI usage tracking; shared utility,shared-utility
src/lib/utils/logger.ts,src/shared/lib/utils/logger.ts,Logger utility; shared across all modules,shared-utility
src/lib/utils/diagnostic.ts,src/shared/lib/utils/diagnostic.ts,Diagnostic utility; shared for debugging/monitoring,shared-utility
src/lib/services/mcp.ts,src/shared/services/mcp.ts,MCP service; shared adapter/service layer,shared-service
src/lib/contracts/github-branch.ts,src/shared/types/contracts/github-branch.ts,GitHub branch API contract; shared type definition,shared-types
src/components/DocumentAgent.tsx,src/modules/documentation/components/DocumentAgent.tsx,Documentation agent UI; feature-specific component,feature-component
src/components/DocumentationAgentUI.tsx,src/modules/documentation/components/DocumentationAgentUI.tsx,Documentation agent UI; feature-specific component,feature-component
src/components/AgentPlaybookViewer.tsx,src/modules/documentation/components/AgentPlaybookViewer.tsx,Playbook viewer for agents; feature-specific component,feature-component
src/components/AgentRunPanel.tsx,src/modules/documentation/components/AgentRunPanel.tsx,Agent run panel; feature-specific component,feature-component
src/components/BranchCreator.tsx,src/shared/components/github/BranchCreator.tsx,GitHub branch creation UI; shared GitHub component,shared-component
src/components/GitHubConnect.tsx,src/shared/components/github/GitHubConnect.tsx,GitHub OAuth connect button; shared GitHub component,shared-component
src/components/GitHubRepositories.tsx,src/shared/components/github/GitHubRepositories.tsx,GitHub repo list UI; shared GitHub component,shared-component
src/components/RepoPicker.tsx,src/shared/components/github/RepoPicker.tsx,Repository picker UI; shared GitHub component,shared-component
src/components/ModelSelector.tsx,src/shared/components/ai/ModelSelector.tsx,AI model selector; shared AI component,shared-component
src/components/integrations/GitHubIntegration.tsx,src/shared/components/integrations/GitHubIntegration.tsx,GitHub integration UI; shared integration component,shared-component
src/components/integrations/GitHubPATIntegration.tsx,src/shared/components/integrations/GitHubPATIntegration.tsx,GitHub PAT integration UI; shared integration component,shared-component

